Tiempo;ErrorMat;Caidas;NivelFrustracion;Estado
10.2751;0;0;0;Optimo
10.2751;0;0;0;Optimo
18.17529;0;0;6.287879;Optimo
19.49073;0;0;28.10606;Enganchado
19.50693;0;0;28.10606;Enganchado
24.1106;0;0;41.41447;Enganchado
25.85966;0;0;54.32243;Frustrado
25.87387;0;0;54.32243;Frustrado
1.068704;0;0;6.287879;Optimo
1.651911;0;0;28.10606;Enganchado
1.669991;0;0;28.10606;Enganchado
2.885701;0;0;41.41447;Enganchado
3.782491;0;0;54.32243;Frustrado
3.792073;0;0;54.32243;Frustrado
10.15952;0;0;0;Optimo
10.15952;0;0;0;Optimo
12.11054;0;0;6.287879;Optimo
13.64841;0;0;28.10606;Enganchado
13.66181;0;0;28.10606;Enganchado
30.38893;0;0;41.41447;Enganchado
33.12157;0;0;54.32243;Frustrado
33.13612;0;0;54.32243;Frustrado
1.374033;0;0;6.287879;Optimo
1.990648;0;0;28.10606;Enganchado
2.010885;0;0;28.10606;Enganchado
28.1744;0;0;0;Optimo
28.1744;0;0;0;Optimo
29.23832;0;0;6.287879;Optimo
29.67737;0;0;28.10606;Enganchado
29.69207;0;0;28.10606;Enganchado
1.830007;0;1;6.287879;Optimo
3.738498;0;2;7.115384;Optimo
5.92971;0;3;8.166666;Optimo
7.719997;0;4;82.66892;Bloqueado
7.729085;0;4;82.66892;Bloqueado
9.238638;0;0;6.287879;Optimo
9.493045;0;0;28.10606;Enganchado
9.510547;0;0;28.10606;Enganchado
9.844329;0;0;41.41447;Enganchado
10.20222;0;0;54.32243;Frustrado
10.21183;0;0;54.32243;Frustrado
49.52423;0;0;6.287879;Optimo
50.1097;0;0;28.10606;Enganchado
50.12766;0;0;28.10606;Enganchado
61.9187;0;0;41.41447;Enganchado
134.0245;0;0;41.41447;Enganchado
135.2994;0;0;0;Optimo
135.2994;0;0;0;Optimo
142.782;0;0;6.287879;Optimo
175.1308;2;0;31.7102;Enganchado
175.1519;2;0;31.7102;Enganchado
206.1295;2;0;46.17586;Frustrado
206.1559;2;0;46.17586;Frustrado
210.4187;2;0;62.53396;Frustrado
52.67303;0;0;6.287879;Optimo
53.7351;0;0;28.10606;Enganchado
53.7536;0;0;28.10606;Enganchado
77.89793;0;0;28.10606;Enganchado
79.11645;0;0;0;Optimo
